ID,EXTERNAL_ID,STEPS,SUBMISSION_TIME,UPDATED_AT
5839896,5744,4623,"2023-04-13T19:55:35.000+0200","2023-04-13T17:55:51.497+0200"
6130001,5744,5008,"2023-06-22T22:14:55.000+0200","2023-06-22T20:14:59.419+0200"
5905994,5744,4130,"2023-04-28T21:57:52.000+0200","2023-04-28T19:58:03.658+0200"
5960685,5744,9866,"2023-05-11T22:20:21.000+0200","2023-05-11T20:20:31.085+0200"
5968621,5744,5304,"2023-05-13T22:29:50.000+0200","2023-05-13T20:30:02.060+0200"
5913449,5744,3906,"2023-04-29T02:00:00.000+0200","2023-04-30T14:26:21.446+0200"
6036629,5744,5334,"2023-05-29T02:00:00.000+0200","2023-05-30T17:20:41.958+0200"
6078736,5744,4112,"2023-06-08T02:00:00.000+0200","2023-06-09T19:40:20.972+0200"
5848608,5744,5302,"2023-04-15T21:52:08.000+0200","2023-04-15T19:52:21.117+0200"
5897542,5744,5506,"2023-04-26T23:39:02.000+0200","2023-04-26T21:39:14.140+0200"
6090976,5744,5537,"2023-06-12T22:08:16.000+0200","2023-06-12T20:08:26.101+0200"
6021646,5744,4766,"2023-05-26T23:19:36.000+0200","2023-05-26T21:19:45.353+0200"
6152072,5744,5770,"2023-06-27T02:00:00.000+0200","2023-06-28T19:04:29.682+0200"
6067456,5744,6010,"2023-06-07T00:39:29.000+0200","2023-06-06T22:39:41.507+0200"
6144422,5744,4875,"2023-06-25T02:00:00.000+0200","2023-06-26T18:23:21.527+0200"
5887878,5744,5276,"2023-04-24T21:11:26.000+0200","2023-04-24T19:11:48.553+0200"
5852716,5744,4156,"2023-04-16T21:53:19.000+0200","2023-04-16T19:53:42.405+0200"
6106173,5744,7254,"2023-06-16T21:22:05.000+0200","2023-06-16T19:22:11.688+0200"
6114240,5744,4698,"2023-06-18T22:41:25.000+0200","2023-06-18T20:41:43.681+0200"
5989602,5744,669600,"2023-05-19T00:55:01.000+0200","2023-05-18T22:55:13.607+0200"
6062523,5744,5003,"2023-06-04T02:00:00.000+0200","2023-06-05T20:53:14.923+0200"
5902047,5744,4998,"2023-04-27T23:19:03.000+0200","2023-04-27T21:19:11.045+0200"
6032052,5744,5912,"2023-05-27T02:00:00.000+0200","2023-05-29T14:15:33.892+0200"
5944394,5744,5189,"2023-05-07T20:21:04.000+0200","2023-05-07T18:21:19.134+0200"
6078739,5744,6210,"2023-06-09T21:40:28.000+0200","2023-06-09T19:40:42.171+0200"
6094777,5744,5642,"2023-06-13T22:08:03.000+0200","2023-06-13T20:08:07.448+0200"
6045973,5744,5009,"2023-06-01T23:07:56.000+0200","2023-06-01T21:08:04.819+0200"
5917155,5744,7235,"2023-04-30T02:00:00.000+0200","2023-05-01T10:33:16.237+0200"
5857400,5744,3893,"2023-04-17T22:09:39.000+0200","2023-04-17T20:09:50.258+0200"
6140152,5744,5918,"2023-06-24T02:00:00.000+0200","2023-06-25T16:23:22.824+0200"
5981395,5744,5986,"2023-05-16T23:40:39.000+0200","2023-05-16T21:40:50.088+0200"
5937205,5744,4893,"2023-05-05T22:51:46.000+0200","2023-05-05T20:52:01.936+0200"
6018204,5744,5699,"2023-05-25T02:00:00.000+0200","2023-05-25T22:49:32.878+0200"
5865801,5744,4563,"2023-04-19T21:14:06.000+0200","2023-04-19T19:14:27.681+0200"
5944393,5744,5306,"2023-05-06T02:00:00.000+0200","2023-05-07T18:20:55.632+0200"
5599040,6068,1050,"2023-02-15T01:00:00.000+0100","2023-02-15T22:00:01.368+0100"
5603487,6068,33,"2023-02-15T01:00:00.000+0100","2023-02-16T22:00:01.249+0100"
5597508,6068,7455,"2023-02-15T01:00:00.000+0100","2023-02-15T16:00:03.424+0100"
5604607,6068,2957,"2023-02-16T01:00:00.000+0100","2023-02-17T04:30:01.237+0100"
5608798,6068,3356,"2023-02-17T01:00:00.000+0100","2023-02-17T22:00:01.935+0100"
7260942,7789,495,"2024-03-28T01:00:00.000+0100","2024-03-28T08:00:01.764+0100"
7281633,7789,3214,"2024-03-31T01:00:00.000+0100","2024-03-31T12:30:01.395+0200"
7282990,7789,2470,"2024-03-31T01:00:00.000+0100","2024-03-31T16:00:01.640+0200"
7283984,7789,475,"2024-03-31T01:00:00.000+0100","2024-03-31T18:00:01.518+0200"
7293258,7789,834,"2024-04-01T02:00:00.000+0200","2024-04-02T00:00:01.611+0200"
7275162,7789,3667,"2024-03-30T01:00:00.000+0100","2024-03-30T12:30:02.026+0100"
7265202,7789,1065,"2024-03-28T01:00:00.000+0100","2024-03-28T20:00:01.634+0100"
7274445,7789,46,"2024-03-30T01:00:00.000+0100","2024-03-30T08:00:01.531+0100"
